,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mahon,39.8885,4.2658,72.16,100,0,8.05,ES,1666474053
1,Longyearbyen,78.2186,15.6401,21.04,58,20,4.61,SJ,1666473481
2,Thompson,55.7435,-97.8558,41.16,56,75,4.61,CA,1666473477
3,Saint George,37.1041,-113.5841,79.79,17,0,33.38,US,1666473474
4,Butaritari,3.0707,172.7902,81.14,67,100,10.13,KI,1666473470
5,Cape Town,-33.9258,18.4232,67.91,73,0,14.0,ZA,1666474026
6,Ortona,42.3496,14.4039,70.38,66,100,1.81,IT,1666474054
7,Lebu,-37.6167,-73.65,54.28,70,100,9.86,CL,1666474054
8,San Cristobal,7.7669,-72.225,77.18,72,97,1.5,VE,1666474055
9,Ushuaia,-54.8,-68.3,46.06,76,75,5.75,AR,1666473845
10,Atuona,-9.8,-139.0333,76.8,65,47,17.09,PF,1666474055
11,Yichun,47.7,128.9,25.43,78,15,2.33,CN,1666474055
12,Nemuro,43.3236,145.575,52.79,76,0,16.82,JP,1666474056
13,Plouzané,48.3833,-4.6167,62.92,85,0,11.5,FR,1666474056
14,Saint Paul Harbor,57.79,-152.4072,44.11,70,100,6.91,US,1666473493
15,Grand Gaube,-20.0064,57.6608,72.37,72,25,1.99,MU,1666473506
16,Bluff,-46.6,168.3333,56.8,69,26,10.47,NZ,1666473473
17,Kupang,-10.1667,123.5833,79.93,80,42,2.95,ID,1666474057
18,Busselton,-33.65,115.3333,54.23,85,36,5.14,AU,1666474057
19,Rikitea,-23.1203,-134.9692,71.42,82,88,22.08,PF,1666474058
20,Lerwick,60.1545,-1.1494,51.8,93,87,16.58,GB,1666474058
21,Bernal,-5.45,-80.75,77.18,50,76,13.27,PE,1666474059
22,Diffa,13.3154,12.6113,85.98,18,100,8.34,NE,1666474059
23,Lohr a. Main,49.9936,9.5783,55.22,90,68,2.84,DE,1666474060
24,Aykhal,66.0,111.5,15.46,99,100,11.21,RU,1666473595
25,La Paz,-16.5,-68.15,62.58,33,75,12.66,BO,1666474060
26,Jamestown,42.097,-79.2353,71.19,32,0,9.22,US,1666473461
27,Tiarei,-17.5333,-149.3333,77.5,79,29,12.8,PF,1666474061
28,Dera Ghazi Khan,30.0561,70.6348,72.9,33,0,4.09,PK,1666474061
29,Torbay,47.6666,-52.7314,54.75,81,0,3.0,CA,1666473322
